policy_id,model_id,phase,aggregation,smoothing,reliability_alpha,tau_up,tau_down,k_up,k_down,cooldown_s,tp,normal_false_events,fn,wrong_window_accident_alerts,duplicate_accident_alerts,precision,recall,f1,fph,mean_signed_delay_s,threshold,persistence_window_s,required_active_observations,merge_gap_s,feasible_under_fph5,selected_calibration_policy,pareto_frontier,dominated,selection_rule,fixed_policy_validation_tp,fixed_policy_validation_normal_fp,fixed_policy_validation_fn,fixed_policy_validation_recall,fixed_policy_validation_precision,fixed_policy_validation_f1,fixed_policy_validation_fph
0a771747df2f2992a1fe,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.55,0.1,2,3,2.0,20,10,27,8,0,0.5263157894736842,0.425531914893617,0.4705882352941176,6.103391451183049,-0.522,0.55,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
4c72bfd66f341740e8e6,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.55,0.15,2,3,2.0,20,10,27,8,0,0.5263157894736842,0.425531914893617,0.4705882352941176,6.103391451183049,-0.522,0.55,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
e25ffa8d5e7521542770,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.55,0.2,2,3,2.0,20,10,27,8,0,0.5263157894736842,0.425531914893617,0.4705882352941176,6.103391451183049,-0.522,0.55,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
df127ed95410dccf42bb,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.55,0.25,2,3,2.0,20,10,27,8,0,0.5263157894736842,0.425531914893617,0.4705882352941176,6.103391451183049,-0.522,0.55,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
797bc2fdc10b092c769b,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.55,0.3,2,3,2.0,20,10,27,8,0,0.5263157894736842,0.425531914893617,0.4705882352941176,6.103391451183049,-0.522,0.55,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
52916ef1ca0911e31988,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.55,0.35,2,3,2.0,20,10,27,8,0,0.5263157894736842,0.425531914893617,0.4705882352941176,6.103391451183049,-0.522,0.55,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
5abc6ad052dcf203c923,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.55,0.4,2,3,2.0,20,10,27,8,0,0.5263157894736842,0.425531914893617,0.4705882352941176,6.103391451183049,-0.522,0.55,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
baa7da83d9c6c258773d,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.55,0.45,2,3,2.0,20,10,27,8,0,0.5263157894736842,0.425531914893617,0.4705882352941176,6.103391451183049,-0.522,0.55,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
81548df2ae494e5a9ac1,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.55,0.5,2,3,2.0,20,10,27,8,0,0.5263157894736842,0.425531914893617,0.4705882352941176,6.103391451183049,-0.522,0.55,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
85832124418db43b023a,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.6,0.05,2,3,2.0,14,6,33,10,0,0.4666666666666667,0.2978723404255319,0.3636363636363636,3.66203487070983,-0.6028571428571429,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
