policy_id,model_id,phase,aggregation,smoothing,reliability_alpha,tau_up,tau_down,k_up,k_down,cooldown_s,tp,normal_false_events,fn,wrong_window_accident_alerts,duplicate_accident_alerts,precision,recall,f1,fph,mean_signed_delay_s,threshold,persistence_window_s,required_active_observations,merge_gap_s,feasible_under_fph5,selected_calibration_policy,pareto_frontier,dominated,selection_rule,fixed_policy_validation_tp,fixed_policy_validation_normal_fp,fixed_policy_validation_fn,fixed_policy_validation_recall,fixed_policy_validation_precision,fixed_policy_validation_f1,fixed_policy_validation_fph
5ac61d31a410f0905cd5,trackfeat132,screen,trimmed_mean,none,0.0,0.6,0.4,2,3,2.0,28,6,19,16,0,0.56,0.5957446808510638,0.577319587628866,3.66203487070983,-0.9242857142857142,0.6,0.4,2,2.0,True,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
f0311f5bef5a56d6a542,trackfeat132,screen,trimmed_mean,trailing3,0.0,0.6,0.4,2,3,2.0,27,4,20,16,0,0.574468085106383,0.574468085106383,0.574468085106383,2.44135658047322,-0.797037037037037,0.6,0.4,2,2.0,True,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
d294d49c9359c1c8fe25,trackfeat132,screen,trimmed_mean,trailing5,0.0,0.6,0.4,2,3,2.0,26,4,21,13,0,0.6046511627906976,0.5531914893617021,0.5777777777777778,2.44135658047322,-0.8000000000000002,0.6,0.4,2,2.0,True,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
217e753b24e9af018716,trackfeat132,screen,trimmed_mean,trailing10,0.0,0.6,0.4,2,3,2.0,22,3,25,11,0,0.6111111111111112,0.4680851063829787,0.5301204819277109,1.831017435354915,-0.7490909090909093,0.6,0.4,2,2.0,True,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
e32a9abbd75352b5090d,trackfeat132,screen,trimmed_mean,ema5,0.0,0.6,0.4,2,3,2.0,24,4,23,15,0,0.5581395348837209,0.5106382978723404,0.5333333333333333,2.44135658047322,-0.7399999999999999,0.6,0.4,2,2.0,True,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
602ada44230e4c61f4f1,trackfeat132,screen,trimmed_mean,ema10,0.0,0.6,0.4,2,3,2.0,23,3,24,11,0,0.6216216216216216,0.4893617021276595,0.5476190476190476,1.831017435354915,-0.7095652173913042,0.6,0.4,2,2.0,True,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
bb67a4c966f02f389f25,trackfeat132,screen,trimmed_mean,trailing60,0.0,0.6,0.4,2,3,2.0,18,0,29,9,0,0.6666666666666666,0.3829787234042553,0.4864864864864864,0.0,-0.7333333333333334,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
81eca99a469595c3146b,trackfeat132,screen,top2_mean,none,0.0,0.6,0.4,2,3,2.0,28,43,19,22,0,0.3010752688172043,0.5957446808510638,0.4,26.244583240087117,-0.9128571428571428,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
7a032314bf0c498942bb,trackfeat132,screen,top2_mean,trailing3,0.0,0.6,0.4,2,3,2.0,27,41,20,22,0,0.3,0.574468085106383,0.3941605839416058,25.023904949850504,-0.7703703703703704,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
9e6eee6c8bf5cd8743c0,trackfeat132,screen,top2_mean,trailing5,0.0,0.6,0.4,2,3,2.0,27,36,20,18,0,0.3333333333333333,0.574468085106383,0.421875,21.97220922425898,-0.9125925925925928,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
6613bdc8e4a7976e7e80,trackfeat132,screen,top2_mean,trailing10,0.0,0.6,0.4,2,3,2.0,23,22,24,16,0,0.3770491803278688,0.4893617021276595,0.4259259259259259,13.427461192602708,-0.9182608695652176,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
cedec3f176ded466a055,trackfeat132,screen,top2_mean,ema5,0.0,0.6,0.4,2,3,2.0,24,32,23,21,0,0.3116883116883117,0.5106382978723404,0.3870967741935484,19.53085264378576,-0.7766666666666667,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
7745bd55d2d87ecf2780,trackfeat132,screen,top2_mean,ema10,0.0,0.6,0.4,2,3,2.0,23,27,24,16,0,0.3484848484848485,0.4893617021276595,0.4070796460176991,16.479156918194235,-0.7599999999999999,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
965313ba8168435a0546,trackfeat132,screen,top2_mean,trailing60,0.0,0.6,0.4,2,3,2.0,21,11,26,11,0,0.4883720930232558,0.4468085106382978,0.4666666666666666,6.713730596301354,-0.8704761904761907,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
aff8a836a8b37b420bd5,trackfeat132,screen,top3_mean,none,0.0,0.6,0.4,2,3,2.0,31,26,16,20,0,0.4025974025974026,0.6595744680851063,0.5,15.868817773075929,-0.976774193548387,0.6,0.4,2,2.0,False,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
c02f94efa2b3425518ca,trackfeat132,screen,top3_mean,trailing3,0.0,0.6,0.4,2,3,2.0,28,22,19,20,0,0.4,0.5957446808510638,0.4786324786324786,13.427461192602708,-0.7557142857142857,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
53a94fb8bee9bf768f16,trackfeat132,screen,top3_mean,trailing5,0.0,0.6,0.4,2,3,2.0,27,15,20,17,0,0.4576271186440678,0.574468085106383,0.509433962264151,9.155087176774574,-0.7940740740740743,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
e9567123245a206a16af,trackfeat132,screen,top3_mean,trailing10,0.0,0.6,0.4,2,3,2.0,23,14,24,14,0,0.4509803921568627,0.4893617021276595,0.4693877551020408,8.544748031656269,-0.7617391304347826,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
c4d159f1b4320b314408,trackfeat132,screen,top3_mean,ema5,0.0,0.6,0.4,2,3,2.0,25,16,22,19,0,0.4166666666666667,0.5319148936170213,0.4672897196261682,9.76542632189288,-0.7440000000000001,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
b759a2aa5b0001523d4d,trackfeat132,screen,top3_mean,ema10,0.0,0.6,0.4,2,3,2.0,23,16,24,15,0,0.4259259259259259,0.4893617021276595,0.4554455445544554,9.76542632189288,-0.7913043478260867,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
d927ac6d9e88ff147648,trackfeat132,screen,top3_mean,trailing60,0.0,0.6,0.4,2,3,2.0,19,9,28,12,0,0.475,0.4042553191489361,0.4367816091954023,5.493052306064745,-0.9115789473684212,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
34d1a8cd3d36d12f6dff,trackfeat132,screen,top5_mean,none,0.0,0.6,0.4,2,3,2.0,29,13,18,17,0,0.4915254237288136,0.6170212765957447,0.5471698113207546,7.934408886537964,-0.9420689655172414,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
1ec718f758be955f4b44,trackfeat132,screen,top5_mean,trailing3,0.0,0.6,0.4,2,3,2.0,28,13,19,17,0,0.4827586206896552,0.5957446808510638,0.5333333333333333,7.934408886537964,-0.82,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
