result_id,status,T,T_ci_low,T_ci_high,S,S_ci_low,S_ci_high,C,C_ci_low,C_ci_high,ACC_S,ACC_S_ci_low,ACC_S_ci_high,wrong_pair_count,verdict,source_path
ACCIDENT_PROMPT1_PRIMARY,primary grouped-OOF development,0.3127932629912759,0.2826949628100961,0.3436967549539832,0.412687180128943,0.3805506823755928,0.4439895147069106,0.3431952662721893,0.3037475345167653,0.3806706114398422,0.3515376816894001,0.3290934268123182,0.3738458333580869,140,ACCIDENT_INTERACTION_THREE_TASK_BASELINE_MIXED,outputs_sotad_phase12_old4c_motor_lowconf_t012/accident_interaction_type_classification/accident_three_task_handoff_01/unified_accident_results.csv
ACCIDENT_PHASE2_REPORT_ONLY,report-only diagnostic,0.2965940953385781,,,0.3702478263115365,,,0.4280078895463511,,,0.3567644124754371,,,134,ACCIDENT_PHASE2_NOT_SUPPORTED,outputs_sotad_phase12_old4c_motor_lowconf_t012/accident_interaction_type_classification/accident_three_task_phase2_temporal_01/combined_chain_report_only.json
